เลขทะเบียน,ประกอบธุรกิจ,หมวดธุรกิจ,สถานะ,วันที่จดทะเบียน,ทุนจดทะเบียน,Website,ก่อตั้งโดย,ที่ตั้ง,ชื่อบริษัทภาษาอังกฤษ,ชื่อบริษัทภาษาไทย,ข้อมูลสำหรับการติดต่อ,ที่มา,สมัครงาน / ดูตำแหน่งงานว่าง,วันที่ร้าง,หลักทรัพย์,วันที่เลิก,เบอร์โทร,ข้อมูลสำหรับติดต่อ,เสร็จชำระบัญชี,เว็บไซต์,พิพากษาล้มละลาย,ศาลสั่งพิทักษ์ทรัพย์,ทะเบียน,จดทะเบียน,ธุรกิจ
'0105545108521,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ที่อื่น,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,60000000,,,83 ซอยงามวงศ์วาน 2 แยก 5 ตำบลบางเขน อำเภอเมืองนนทบุรี จ.นนทบุรี 11000,Q ADVERTISING COMPANY LIMITED,บริษัท คิว แอดเวอร์ไทซิ่ง จำกัด,True,https://www.dataforthai.com/company/0105545108521/,,,,,,,,,,,,14 ตุลาคม 2545,
'0105533079571,สิ่งพิมพ์,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,140000000,,,699 ถนนสีลม แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,CHANWANICH SECURITY PRINTING LIMITED,บริษัท จันวาณิชย์ ซีเคียวริตี้ พริ้นท์ติ้ง จำกัด,True,https://www.dataforthai.com/company/0105533079571/,,,,,,,,,,,,10 กรกฎาคม 2533,
'0745544001239,,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,38000000,,,236 หมู่ที่ 1 ตำบลแคราย อำเภอกระทุ่มแบน จ.สมุทรสาคร 74110,"JINMAO PRINING (THAILAND) CO.,LTD.",บริษัท จินเม่า การพิมพ์ (ประเทศไทย) จำกัด,False,https://www.dataforthai.com/company/0745544001239/,,,,,,,,,,,,10 กรกฎาคม 2544,
'0105549120070,บริการและผลิตเกี่ยวกับการพิมพ์เครื่องหมายการค้าและโฆษณาต่างๆ,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,60000000,,,899/9 หมู่ 10 ตำบลในคลองบางปลากด อำเภอพระสมุทรเจดีย์ จ.สมุทรปราการ 10290,"G.D. PROPAC CO.,LTD.",บริษัท จี.ดี. โปรแพค จำกัด,False,https://www.dataforthai.com/company/0105549120070/,,,,,,,,,,,,6 ตุลาคม 2549,
'0735553003231,ประกอบกิจการโรงพิมพ์,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,40000000,,,393 ถนนเพชรเกษม ตำบลพระประโทน อำเภอเมืองนครปฐม จ.นครปฐม 73000,"SUN PACKAGING (2010) CO.,LTD.",บริษัท ซัน แพคเกจจิ้ง (2010) จำกัด,False,https://www.dataforthai.com/company/0735553003231/,,,,,,,,,,,,8 ตุลาคม 2553,
'0735551002598,ธุรกิจโรงพิมพ์,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,35000000,,,577 ถนนเพชรเกษม ตำบลห้วยจรเข้ อำเภอเมืองนครปฐม จ.นครปฐม 73000,SUN PACKAGING (2014) COMPANY LIMITED,บริษัท ซัน แพคเกจจิ้ง (2014) จำกัด,False,https://www.dataforthai.com/company/0735551002598/,,,,,,,,,,,,24 ตุลาคม 2551 แปรสภาพจาก ห้างหุ้นส่วนจำกัด ส เจริญ การพิมพ์,
'0105543005686,ประกอบกิจการโรงพิมพ์ รับพิมพ์หนังสือ พิมพ์หนังสือจำหน่าย,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,50000000,,,12 ซอยสามวา 7/1 แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510,"ZENITH CENTRAL CO., LTD.",บริษัท ซีนิท เซ็นทรัล จำกัด,False,https://www.dataforthai.com/company/0105543005686/,,,,,,,,,,,,18 มกราคม 2543,
'0105555073134,ให้บริการ (ออกแบบ วางแผน จัดพิมพ์โฆษณา)ขายนิตยสาร สิ่งพิมพ์ต่างๆ,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,60000000,,,"4,4/5 เซน เวิลด์ ชั้น 12M ห้องเลขที่ 12M10-13 ถนนราชดำริห์ แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330","SERENDIPITY MEDIA CO.,LTD.",บริษัท เซเรนดิพิตี้ มีเดีย จำกัด,True,https://www.dataforthai.com/company/0105555073134/,,,,,,,,,,,,21 พฤษภาคม 2555,
'0745556007229,การพิมพ์อื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,700000000,,,"30/91,100 นิคมอุตสาหกรรมสินสาคร หมู่ที่ 1 ถนนเจษฎาวิถี ตำบลโคกขาม อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000",CYBERPRINT GROUP COMPANY LIMITED,บริษัท ไซเบอร์พริ้นท์กรุ๊ป จำกัด,True,https://www.dataforthai.com/company/0745556007229/,,,,,,,,,,,,6 ธันวาคม 2556,
'0105551041025,การพิมพ์ซึ่งมิได้จัดประเภทไว้ในที่อื่น,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,34000000,,,123 ซอยฉลองกรุง 31 นิคมอุตสาหกรรมลาดกระบัง ถนนฉลองกรุง แขวงลำปลาทิว เขตลาดกระบัง กรุงเทพมหานคร 10520,"SIMAT LABEL CO.,LTD.",บริษัท ไซแมท เลเบล จำกัด,False,https://www.dataforthai.com/company/0105551041025/,,,,,,,,,,,,9 เมษายน 2551,
'0105544078199,รับจ้างพิมพ์สิ่งพิมพ์ทุกชนิด,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,88000000,,,"789/15, 17 ถนนพระราม 9 แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310","DOCU XPERT CORPORATION CO., LTD.",บริษัท ด็อคคิวเอ็กซ์เปิร์ท เอเชีย จำกัด,False,https://www.dataforthai.com/company/0105544078199/,,,,,,,,,,,,15 สิงหาคม 2544,
'0105527018388,"โรงพิมพ์ ผลิตบัตรและแบบฟอร์ม ให้บริการบำรุงรักษา,ผลิตแทนและซื้อมาขายไป",การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,133650000,,,108 ถนนอ่อนนุช แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250,TOPPAN EDGE (THAILAND) LIMITED,บริษัท ทอปปังเอจ (ประเทศไทย) จำกัด,True,https://www.dataforthai.com/company/0105527018388/,,,,,,,,,,,,17 พฤษภาคม 2527,
'0105519006210,รับจ้างพิมพ์หนังสือทุกชนิด,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,40000000,,,307 ซอยลาดพร้าว 87 ถนนลาดพร้าว แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310,DARN SUTHA PRESS COMPANY LIMITED,บริษัท ด่านสุทธาการพิมพ์ จำกัด,True,https://www.dataforthai.com/company/0105519006210/,,,,,,,,,,,,14 มิถุนายน 2519,
'0105545079393,พิมพ์สติ๊กเกอร์ขายผ้าหมึกพิมพ์สติ๊กเกอร์,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,40000000,,,617/1-2 ซอยสวัสดี 4 ถนนสุขุมวิท 50 แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร ,"THE LABEL TECH ASIA CO., LTD.",บริษัท เดอะ เลเบิ้ล เท็ค เอเซีย จำกัด,True,https://www.dataforthai.com/company/0105545079393/,,,,,,,,,,,,1 สิงหาคม 2545,
'0925538000046,โรงพิมพ์,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,76000000,,,5 หมู่ที่ 5 ตำบลนาตาล่วง อำเภอเมืองตรัง จ.ตรัง 92000,"TRANG PRINTING CO., LTD.",บริษัท ตรังการพิมพ์ จำกัด,False,https://www.dataforthai.com/company/0925538000046/,,,,,,,,,,,,12 มกราคม 2538,
'0115564027689,ประกอบกิจการโรงงานผลิตสิ่งพิมพ์ชนิดต่างๆ,การผลิตคอมพิวเตอร์และ/หรือการประกอบคอมพิวเตอร์,ยังดำเนินกิจการอยู่,,70000000,,,99/41 หมู่ที่ 1 ถนนพระราม 2 ตำบลนาดี อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,"JINGHENG PRECISION TECHNOLOGY NEW MATERIAL (THAILAND) CO., LTD.",บริษัท จิงเหิง พรีซิชั่น เทคโนโลยี นิวแมททีเรียล (ประเทศไทย) จำกัด,False,https://www.dataforthai.com/company/0115564027689/,,,,,,,,,,,,29 พฤศจิกายน 2564,
'0105544097339,พิมพ์หนังสือ นิตยสารและสิ่งพิมพ์ทุกชนิด,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,50000000,,,194 ซอยปรีดีพนมยงค์ 46 (ซอยจิตรวารี) ถนนสุขุมวิท 71 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,"FYI PROMOTION (THAI LAND) CO.,LTD.",บริษัท ทราเวล อีส จำกัด,False,https://www.dataforthai.com/company/0105544097339/,,,,,,,,,,,,3 ตุลาคม 2544,
'0105536094121,ผลิตสิ่งพิมพ์ชนิดต่างๆ,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,560000000,,,30/88 หมู่ที่1 ถนนเจษฎาวิถี ตำบลโคกขาม อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,"SIAMPRESS CO., LTD.",บริษัท สยามเพรส จำกัด,False,https://www.dataforthai.com/company/0105536094121/,,,,,,,,,,,,18 สิงหาคม 2536,
'0105532011418,รับจ้างพิมพ์สิ่งพิมพ์ต่างๆ และกล่องกระดาษ,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,50000000,,,"82,84 ซอยประชาอุทิศ 69 ถนนประชาอุทิศ แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร 10140","T.C.P. INDUSTRY CO., LTD.",บริษัท ที.ซี.พี. อินดัสทรี้ จำกัด,False,https://www.dataforthai.com/company/0105532011418/,,,,,,,,,,,,3 กุมภาพันธ์ 2532,
'0105536123130,รับพิมพ์ถุงพลาสติก,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,118000000,,,310 ซอยพระรามที่ 2 ซอย 11 แขวงบางมด เขตจอมทอง กรุงเทพมหานคร 10150,TEEKAPOL 222 COMPANY LIMITED,บริษัท ทีฆพล 222 จำกัด,True,https://www.dataforthai.com/company/0105536123130/,,,,,,,,,,,,27 ตุลาคม 2536,
'0115547008787,ประกอบกิจการโรงพิมพ์ รับออกแบบและผลิตสิ่งพิมพ์ทุกประเภท,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,30000000,,,34/11 หมู่ที่ 3 ถนนเทพารักษ์ ตำบลบางปลา อำเภอบางพลี จ.สมุทรปราการ 10540,TS INTERPRINT COMPANY LIMITED,บริษัท ทีเอส อินเตอร์พริ้นท์ จำกัด,True,https://www.dataforthai.com/company/0115547008787/,,,,,,,,,,,,17 สิงหาคม 2547,
'0105538035289,ผลิตและจำหน่ายสติ๊กเกอร์,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,98000000,,,2 ซอยท่าข้าม 4 แยก 4-3 ถนนพระราม 2 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,"2T THAI KOON CO., LTD.",บริษัท ทูที ไทยคูณ จำกัด,False,https://www.dataforthai.com/company/0105538035289/,,,,,,,,,,,,17 มีนาคม 2538,
'0105554064093,,การผลิตบรรจุภัณฑ์พลาสติก,ยังดำเนินกิจการอยู่,,34000000,,,503 หมู่ที่ 4 ตำบลบ้านคลองสวน อำเภอพระสมุทรเจดีย์ จ.สมุทรปราการ 10290,TECHNIC PACKAGING COMPANY LIMITED,บริษัท เทคนิค แพ็คเก็จจิ้ง จำกัด,False,https://www.dataforthai.com/company/0105554064093/,,,,,,,,,,,,18 พฤษภาคม 2554,
'0105547122172,ผลิตสิ่งพิมพ์,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,150000000,,,700/862 หมู่ที่ 5 นิคมอุตสาหกรรมอมตะ ซิตี้ ชลบุรี ตำบลหนองกะขะ อำเภอพานทอง จ.ชลบุรี 20160,TENTAC (THAILAND) COMPANY LIMITED,บริษัท เท็นแทค (ประเทศไทย) จำกัด,False,https://www.dataforthai.com/company/0105547122172/,,,,,,,,,,,,8 กันยายน 2547,
'0105522000804,โรงพิมพ์,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,30000000,,,77/1 หมู่ที่ 11 ถนนเทพารักษ์ ตำบลบางปลา อำเภอบางพลี จ.สมุทรปราการ 10540,THEP NAKORN SILP PRESS COMPANY LIMITED,บริษัท เทพนครศิลป์การพิมพ์ จำกัด,True,https://www.dataforthai.com/company/0105522000804/,,,,,,,,,,,,10 มกราคม 2522,
'0107548000609,,กิจกรรมศูนย์บริการลูกค้าทางโทรศัพท์,ยังดำเนินกิจการอยู่,,156544000,,,414 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,TELEINFO MEDIA PUBLIC COMPANY LIMITED,บริษัท เทเลอินโฟ มีเดีย จำกัด (มหาชน),True,https://www.dataforthai.com/company/0107548000609/,,,,,,,,,,,,30 สิงหาคม 2548,
'0205547009812,ประกอบกิจการผลิตแผ่นป้ายสติกเกอร์ติดสินค้า ประกอบกิจการพิมพ์ลายโดยการสกีนสีลงบนกระจกนิรภัย,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,95000000,,,196/6 หมู่ที่ 1 ตำบลคลองตำหรุ อำเภอเมืองชลบุรี จ.ชลบุรี 20000,THAI SUNG JIN TECH COMPANY LIMITED,บริษัท ไทย ซัง จิน เทค จำกัด,True,https://www.dataforthai.com/company/0205547009812/,,,,,,,,,,,,24 พฤษภาคม 2547,
'0105551073229,โรงพิมพ์ ผลิตหนังสือ และนิตยสาร,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,100000000,,,197/3 ซอยลาดพร้าว 101(วัดบึงทองหลาง) แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310,"NOTE FAMILY CO.,LTD.",บริษัท ไทย ทีวีพูล จำกัด,False,https://www.dataforthai.com/company/0105551073229/,,,,,,,,,,,,8 กรกฎาคม 2551,
'0107565000221,ผลิตสิ่งพิมพ์ วราสาร,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,60080000,,,103 อาคารสินนที ชั้นที่ 4 ถนนนนทรี แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,THAI JIARANAI GROUP PUBLIC COMPANY LIMITED,บริษัท ไทยเจียระไน กรุ๊ป จำกัด (มหาชน),False,https://www.dataforthai.com/company/0107565000221/,,,,,,,,,,,,29 มีนาคม 2565 แปรสภาพจาก บริษัท ไทยเจียระไน กรุ๊ป จำกัด,
'0105565003562,การพิมพ์อื่นๆ ซิ่งมิได้จัดประเภทไว้ในที่อื่น,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,76000000,,,47 ซอยจรัญสนิทวงศ์ 40 ถนนจรัญสนิทวงศ์ แขวงบางยี่ขัน เขตบางพลัด กรุงเทพมหานคร 10700,"THAI NOBLE (2022) PRINTING & PACKAGING CO., LTD.",บริษัท ไทยโนเบิล (2022) พริ้นติ้งแอนด์แพ็คเกจจิ้ง จำกัด,False,https://www.dataforthai.com/company/0105565003562/,,,,,,,,,,,,7 มกราคม 2565,
'0115550006269,บริการพิมพ์ข้อมูลและส่งจัดทางไปรษณีย์,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,34000000,,,30/88 หมู่ที่ 1 ถนนเจษฎาวิถี ตำบลโคกขาม อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,THAI BRITISH DPOST,บริษัท ไทยบริติช ดีโพสต์ จำกัด,True,https://www.dataforthai.com/company/0115550006269/,,,,,,,,,,,,10 กรกฎาคม 2550,
'0105523019053,รับจ้างพิมพ์,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,50000000,,,9/9 หมู่ที่ 9 ตำบลบางม่วง อำเภอบางใหญ่ จ.นนทบุรี 11140,"THAI ROME KLOA CO., LTD.",บริษัท ไทยร่มเกล้า จำกัด,True,https://www.dataforthai.com/company/0105523019053/,,,,,,,,,,,,21 ตุลาคม 2523,
'0105534119089,รับจ้างพิมพ์ถุงพลาสติก,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,30000000,,,79/82-84 หมู่ที่ 19 ซอยธนสิทธิ์แยกรัตนโชค 12 ถนนเทพารักษ์ ตำบลบางพลีใหญ่ อำเภอบางพลี จ.สมุทรปราการ 10540,"THAI SILP PLASTIC PRINTIN CO., LTD.",บริษัท ไทยศิลป์ลาเบลแพค จำกัด,False,https://www.dataforthai.com/company/0105534119089/,,,,,,,,,,,,17 ธันวาคม 2534,
'0105531013344,การพิมพ์อื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,30000000,,,1017/5 ถนนประชาพัฒนา แขวงทับยาว เขตลาดกระบัง กรุงเทพมหานคร 10520,"THANATHEP PRINTING CO., LTD",บริษัท ธนาเทพการพิมพ์ จำกัด,True,https://www.dataforthai.com/company/0105531013344/,,,,,,,,,,,,24 กุมภาพันธ์ 2531,
'0105535110603,จำหน่ายหนังสือ,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,3/8/2535,235000000,,,11 ซอยสุขุมวิท 31 (สวัสดี) ถนนสุขุมวิท แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,NANMEBOOKS COMPANY LIMITED,บริษัท นานมี บุ๊คส์ จำกัด,True,https://www.dataforthai.com/company/0105535110603/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,www.nanmeebooks.com,,,,,
'0105531080637,"ผลิตสติ๊กเกอร์ใช้สำหรับตกแต่งรถมอเตอร์ไซค์,รถยนต์,เครื่องใช้ไฟฟ้า",การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,110000000,,,151/9 หมู่ที่ 2 ตำบลสำโรงใต้ อำเภอพระประแดง จ.สมุทรปราการ 10130,"NIPPON CARBIDE INDUSTRIES (THAILAND) CO., LTD.",บริษัท นิปปอน คาร์ไบด์ อินดัสตรีส์ (ประเทศไทย) จำกัด,False,https://www.dataforthai.com/company/0105531080637/,,,,,,,,,,,,12 เมษายน 2531,
'0105544003181,ผลิต จำหน่าย หนังสือ,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,130000000,,,"2,4,10 ซอยเลียบคลองภาษีเจริญฝั่งเหนือ 12 แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160","BONGKOCH PUBLISHING CO., LTD.",บริษัท บงกช พับลิชชิ่ง จำกัด,True,https://www.dataforthai.com/company/0105544003181/,,,,,,,,,,,,10 มกราคม 2544,
'0745539002931,รับจ้างพิมพ์ลามิเนตและบรรจุภัณฑ์ชนิดอ่อน,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,93000000,,,1/95 หมู่ที่ 2 นิคมอุตสาหกรรมสมุทรสาคร ถนนพระราม 2 ตำบลท่าทราย อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,"CRAFTZ PACKAGING THAI CO., LTD.",บริษัท คร๊าฟซ์ แพคเกจจิ้ง ไทย จำกัด,True,https://www.dataforthai.com/company/0745539002931/,,,,,,,,,,,,9 ธันวาคม 2535,
'0125550000660,รับจ้างผลิตสิ่งพิมพ์ทุกชนิด วัสดุ อุปกรณ์และคุรุภัณฑ์พลาสติก,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,200000000,,,11 หมู่ที่ 4 ตำบลสวนหลวง อำเภอกระทุ่มแบน จ.สมุทรสาคร 74110,"BILLION PRO CO., LTD.",บริษัท บิลเลี่ยน โปร จำกัด,False,https://www.dataforthai.com/company/0125550000660/,,,,,,,,,,,,19 มกราคม 2550,
'0105534101350,รับจ้างออกแบบและจัดทำสิ่งพิมพ์ งานสื่อโฆษณาทุกชนิดให้เช่าอสังหาริมทรัพย์,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,150000000,,,335/42 ถนนศรีนครินทร์ แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250,BRAND ASIA COMPANY LIMITED.,บริษัท แบรนด์เอเชีย จำกัด,False,https://www.dataforthai.com/company/0105534101350/,,,,,,,,,,,,28 ตุลาคม 2534,
'0105534123477,รับพิมพ์หนังสือและเอกสารต่างๆ,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,90000000,,,115 ถนนพระรามที่ 2 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,"P.SEREE (1991) CO., LTD.",บริษัท ป.เสรี(1991) จำกัด,False,https://www.dataforthai.com/company/0105534123477/,,,,,,,,,,,,26 ธันวาคม 2534,
'0105499001439,"ประกอบกิจการรับจ้างพิมพ์สิ่งพิมพ์ต่างๆขายกระดาษ,เศษวัสดุ,หนังสือและสื่อสิ่งพิมพ์",การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,78000000,,,1/14 ถนนวิภาวดีรังสิต แขวงตลาดบางเขน เขตหลักสี่ กรุงเทพมหานคร 10210,PRACHOOMCHANG COMPANY LIMITED,บริษัท ประชุมช่าง จำกัด,True,https://www.dataforthai.com/company/0105499001439/,,,,,,,,,,,,15 พฤศจิกายน 2499,
'0105534026587,ดำเนินธุรกิจโรงพิมพ์ รับพิมพ์หนังสือและสิ่งพิมพ์อื่นๆทุกประเภท,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,45000000,,,22-22/6 ซอยธนารักษ์ (เซ็นต์หลุยส์ 3) ถนนสาทรใต้ แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120,"PRACHOOMTHONG PRINTING GROUP CO., LTD.",บริษัท ประชุมทอง พริ้นติ้ง กรุ๊ป จำกัด,False,https://www.dataforthai.com/company/0105534026587/,,,,,,,,,,,,20 มีนาคม 2534,
'0105532022681,รับจ้างพิมพ์,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,45000000,,,201 หมู่ที่ 1 ตำบลแคราย อำเภอกระทุ่มแบน จ.สมุทรสาคร 74110,PIYASUP PRESS (1989) COMPANY LIMITED,บริษัท ปิยะทรัพย์การพิมพ์ (1989) จำกัด,False,https://www.dataforthai.com/company/0105532022681/,,,,,,,,,,,,13 มีนาคม 2532,
'0105535007535,สื่อสิ่งพิมพ์,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,53000000,,,"136,138 ถนนวิภาวดีรังสิต แขวงรัชดาภิเษก เขตดินแดง กรุงเทพมหานคร 10400",PLAN PRINTING COMPANY LIMITED,บริษัท แปลน พริ้นท์ติ้ง จำกัด,True,https://www.dataforthai.com/company/0105535007535/,,,,,,,,,,,,16 มกราคม 2535,
'0105539072307,ประกอบกิจการโรงพิมพ์ รับพิมพ์หนังสือ จำหน่ายส่ง-ปลีกหนังสือ,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,30000000,,,66/133-134 ซอยสาธุประดิษฐ์ 58 แยก 2(พาสุข) แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120,"PRODECAL CO., LTD.",บริษัท โปรดีเคล จำกัด,False,https://www.dataforthai.com/company/0105539072307/,,,,,,,,,,,,1 กรกฎาคม 2539,
'0105545026885,ผลิตและจำหน่ายสิ่งพิมพ์,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,50000000,,,102/1 ถนนพระอาทิตย์ แขวงชนะสงคราม เขตพระนคร กรุงเทพมหานคร 10200,IT-ASIA MEDIA GROUP COMPANY LIMITED,บริษัท ผู้จัดการ 360 จำกัด,False,https://www.dataforthai.com/company/0105545026885/,,,,,,,,,,,,8 มีนาคม 2545,
'0105526029751,โรงพิมพ์ รับจ้างพิมพ์สิ่งพิมพ์ที่เป็นกระดาษ,การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,,100000000,,,299-299/1 หมู่ที่ 10 สุขุมวิท 107 ถนนสุขุมวิท ตำบลสำโรงเหนือ อำเภอเมืองสมุทรปราการ จ.สมุทรปราการ 10270,"PHONG WARIN PRINTING CO., LTD.",บริษัท พงษ์วรินการพิมพ์ จำกัด,True,https://www.dataforthai.com/company/0105526029751/,,,,,,,,,,,,20 กรกฎาคม 2526,
